order_id,order_date,customer_id,customer_name,email,country,city,acquisition_channel,product_name,category,quantity,unit_price,discount_pct,shipping_cost,tax,payment_method,order_status,delivery_days,return_reason
ORD-100000,2025-01-30,C-10551,Omar Müller,omar.müller90@email.com,US,LA,Organic Search,Bluetooth Speaker,Electronics,1,149.12,0,0,13.88,PayPal,Delivered,11,
ORD-100001,2025-03-19,C-10848,Sophia Kim,sophia.kim22@email.com,AU,Melbourne,Organic Search,Cutting Board,Home & Kitchen,2,77.82,0,9.58,8.13,Credit Card,Delivered,9,
ORD-100002,2025-06-27,C-10080,Isabella Kim,isabella.kim89@email.com,DE,Munich,Organic Search,Dumbbell Set,Sports,2,40.29,15,8.93,5.65,Apple Pay,Delivered,13,
ORD-100003,2024-11-10,C-11140,Sophia Brown,sophia.brown71@email.com,UK,London,Email,Water Bottle,Home & Kitchen,1,49.55,0,11.03,3.14,Credit Card,Delivered,12,
ORD-100004,2025-04-14,C-10402,Emma Garcia,emma.garcia85@email.com,US,Austin,Paid Search,Kitchen Scale,Home & Kitchen,1,21.14,15,12.09,1.32,Debit Card,Cancelled,,
ORD-100005,2025-02-20,C-11137,Raj Rodriguez,raj.rodriguez14@email.com,UK,Leeds,Direct,Yoga Mat,Sports,1,53.71,5,5.03,3.51,Debit Card,Cancelled,,
ORD-100006,2024-08-18,C-10972,Harper Clark,harper.clark37@email.com,UK,Birmingham,Organic Search,Face Moisturizer,Beauty,1,51.3,0,0,3.97,Google Pay,Shipped,,
ORD-100007,2025-04-05,C-10336,Arjun Kumar,arjun.kumar40@email.com,US,Phoenix,Referral,Phone Case,Electronics,1,133.64,5,10.75,11.42,Google Pay,Delivered,9,
ORD-100008,2025-04-30,C-10583,Noah Williams,noah.williams63@email.com,FR,Lyon,Social Media,Lip Balm Set,Beauty,2,37.31,15,4.41,3.23,Apple Pay,Cancelled,,
ORD-100009,2025-01-27,C-11186,Omar Dubois,omar.dubois39@email.com,US,LA,Social Media,Winter Coat,Clothing,2,82.19,0,7.68,9.99,Credit Card,Delivered,2,
ORD-100010,2025-03-25,C-10813,Emma Jackson,emma.jackson29@email.com,DE,Hamburg,Direct,Wireless Earbuds,Electronics,1,140.01,0,4.26,12.71,Google Pay,Shipped,,
ORD-100011,2024-08-23,C-10620,Evelyn Lee,evelyn.lee57@email.com,US,LA,Organic Search,Hair Serum,Beauty,1,10.07,0,11.94,0.62,PayPal,Shipped,,
ORD-100012,2025-01-13,C-11190,James Lee,james.lee84@email.com,DE,Berlin,Direct,Lip Balm Set,Beauty,2,45.75,0,5.5,4.82,Debit Card,Shipped,,
ORD-100014,2024-08-06,C-10617,Mason White,mason.white45@email.com,US,Austin,Email,Polo Shirt,Clothing,2,65.52,0,11.77,11.96,PayPal,Returned,,Changed Mind
